 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
   35,   relocation,            3917.37,            3917.37,            538.045,            73964.4,                  0,       0.014816/0.825008,       0.022453/0.612940,       0.000000/0.185757,       0.016515/0.910596,                 0.0/0.0,
   36,   relocation,            3580.12,            3580.12,            512.173,            67989.6,                  0,       0.013416/0.790981,       0.021367/0.585966,       0.000000/0.181236,       0.014833/0.873060,                 0.0/0.0,
   37,   relocation,            3265.45,            3265.45,            487.778,            62349.2,                  0,       0.012165/0.757474,       0.018811/0.559678,       0.000000/0.176867,       0.013516/0.836073,                 0.0/0.0,
   38,   relocation,            2974.22,            2974.22,            464.891,            57146.7,                  0,       0.010951/0.725189,       0.017882/0.534140,       0.000000/0.172668,       0.012056/0.800446,                 0.0/0.0,
   39,   relocation,            2703.43,            2703.43,            443.356,            52254.6,                  0,       0.009944/0.693475,       0.015793/0.509285,       0.000000/0.168621,       0.010999/0.765426,                 0.0/0.0,
   40,   relocation,            2453.87,            2453.87,            422.706,            47769.3,                  0,       0.009120/0.663050,       0.014813/0.485217,       0.000000/0.164647,       0.010050/0.731845,                 0.0/0.0,
   41,   relocation,            2223.14,            2223.14,            403.233,            43553.8,                  0,       0.008104/0.633151,       0.012884/0.461877,       0.000000/0.160810,       0.008963/0.698816,                 0.0/0.0,
   42,   relocation,            2012.13,            2012.13,            384.915,            39733.8,                  0,       0.007025/0.604764,       0.012450/0.439406,       0.000000/0.157115,       0.007620/0.667479,                 0.0/0.0,
   43,   relocation,            1818.99,            1818.99,            367.873,            36172.1,                  0,       0.006097/0.577065,       0.010464/0.417821,       0.000000/0.153597,       0.006654/0.636867,                 0.0/0.0,
   44,   relocation,            1643.02,            1643.02,            351.731,            32948.8,                  0,       0.004866/0.550784,       0.009567/0.397108,       0.000000/0.150190,       0.005168/0.607840,                 0.0/0.0,
   45,   relocation,            1483.17,            1483.17,            336.485,            29967.1,                  0,       0.004322/0.525319,       0.008353/0.377312,       0.000000/0.146899,       0.004607/0.579688,                 0.0/0.0,
   46,   relocation,            1338.37,            1338.37,            322.142,            27279.8,                  0,       0.003546/0.501252,       0.007487/0.358430,       0.000000/0.143734,       0.003706/0.553091,                 0.0/0.0,
   47,   relocation,            1206.89,            1206.89,             308.42,              24786,                  0,       0.002878/0.477855,       0.006812/0.340376,       0.000000/0.140639,       0.002922/0.527208,                 0.0/0.0,
   48,   relocation,            1088.81,            1088.81,            295.183,            22551.3,                  0,       0.002286/0.455858,       0.006192/0.323302,       0.000000/0.137588,       0.002229/0.502884,                 0.0/0.0,
