 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
  146,   relocation,           0.895563,           0.895563,            2.43197,            50.8564,                  0,       0.000433/0.021685,       0.000403/0.009265,       0.000000/0.012489,       0.000512/0.023876,                 0.0/0.0,
  147,   relocation,           0.861993,           0.861993,            2.36628,            46.2903,                  0,      -0.000483/0.020729,       0.000217/0.009096,       0.000000/0.012319,      -0.000649/0.022775,                 0.0/0.0,
  148,   relocation,           0.743737,           0.743737,            2.32917,            43.1593,                  0,      -0.000075/0.020035,       0.000209/0.008449,       0.000000/0.012222,      -0.000121/0.022000,                 0.0/0.0,
  149,   relocation,           0.758457,           0.758457,            2.28736,            41.6823,                  0,      -0.000208/0.019705,       0.000237/0.008531,       0.000000/0.012112,      -0.000297/0.021618,                 0.0/0.0,
  150,   relocation,           0.666255,           0.666255,            2.23898,            42.0079,                  0,       0.000011/0.019747,       0.000179/0.007997,       0.000000/0.011983,      -0.000007/0.021705,                 0.0/0.0,
  151,   relocation,           0.709055,           0.709055,            2.20968,             39.739,                  0,      -0.000221/0.019244,       0.000084/0.008251,       0.000000/0.011904,      -0.000295/0.021108,                 0.0/0.0,
  152,   relocation,           0.746373,           0.746373,             2.1716,             43.181,                  0,       0.000319/0.020003,       0.000232/0.008463,       0.000000/0.011801,       0.000385/0.022002,                 0.0/0.0,
  153,   relocation,           0.715562,           0.715562,            2.16914,            37.4542,                  0,      -0.000355/0.018711,      -0.000072/0.008289,       0.000000/0.011794,      -0.000450/0.020490,                 0.0/0.0,
  154,   relocation,           0.617716,           0.617716,            2.06468,            36.8031,                  0,       0.000124/0.018515,       0.000214/0.007699,       0.000000/0.011507,       0.000135/0.020315,                 0.0/0.0,
  155,   relocation,            0.68411,            0.68411,            2.07131,            34.4124,                  0,      -0.000209/0.017963,       0.000192/0.008103,       0.000000/0.011525,      -0.000292/0.019642,                 0.0/0.0,
  156,   relocation,             0.6106,             0.6106,            2.01646,            33.8746,                  0,       0.000052/0.017802,       0.000209/0.007655,       0.000000/0.011372,       0.000043/0.019490,                 0.0/0.0,
  157,   relocation,           0.619113,           0.619113,            1.99788,            31.4099,                  0,      -0.000242/0.017186,      -0.000171/0.007709,       0.000000/0.011319,      -0.000293/0.018766,                 0.0/0.0,
  158,   relocation,           0.532886,           0.532886,            1.94185,            32.0763,                  0,       0.000129/0.017319,       0.000172/0.007152,       0.000000/0.011159,       0.000146/0.018966,                 0.0/0.0,
  159,   relocation,             0.6174,             0.6174,            1.94364,            30.8287,                  0,      -0.000146/0.017026,       0.000208/0.007697,       0.000000/0.011165,      -0.000213/0.018592,                 0.0/0.0,
  160,   relocation,           0.497161,           0.497161,            1.89574,            29.4356,                  0,      -0.000071/0.016623,       0.000069/0.006909,       0.000000/0.011026,      -0.000100/0.018168,                 0.0/0.0,
  161,   relocation,           0.563692,           0.563692,            1.88246,            31.6355,                  0,      -0.000193/0.017201,       0.000014/0.007358,       0.000000/0.010987,      -0.000252/0.018834,                 0.0/0.0,
  162,   relocation,           0.571904,           0.571904,             1.8502,            29.1217,                  0,      -0.000008/0.016549,       0.000155/0.007409,       0.000000/0.010893,      -0.000029/0.018071,                 0.0/0.0,
  163,   relocation,           0.489375,           0.489375,            1.82555,            25.1918,                  0,      -0.000162/0.015453,       0.000079/0.006855,       0.000000/0.010820,      -0.000219/0.016807,                 0.0/0.0,
  164,   relocation,           0.439899,           0.439899,            1.80096,             24.196,                  0,       0.000065/0.015150,      -0.000100/0.006499,       0.000000/0.010747,       0.000096/0.016472,                 0.0/0.0,
  165,   relocation,           0.508202,           0.508202,            1.80124,            24.2076,                  0,      -0.000136/0.015173,      -0.000014/0.006986,       0.000000/0.010748,      -0.000174/0.016475,                 0.0/0.0,
  166,   relocation,           0.440213,           0.440213,            1.74678,            23.1955,                  0,       0.000160/0.014844,       0.000102/0.006501,       0.000000/0.010584,       0.000195/0.016127,                 0.0/0.0,
  167,   relocation,           0.500999,           0.500999,            1.73567,            22.8716,                  0,      -0.000201/0.014763,       0.000032/0.006936,       0.000000/0.010550,      -0.000263/0.016013,                 0.0/0.0,
  168,   relocation,             0.4155,             0.4155,            1.69484,            21.1171,                  0,       0.000042/0.014201,       0.000022/0.006317,       0.000000/0.010426,       0.000052/0.015389,                 0.0/0.0,
  169,   relocation,           0.437948,           0.437948,            1.69559,            20.5402,                  0,      -0.000154/0.014030,       0.000038/0.006485,       0.000000/0.010428,      -0.000204/0.015176,                 0.0/0.0,
  170,   relocation,           0.402087,           0.402087,            1.66472,            19.4379,                  0,      -0.000076/0.013664,      -0.000025/0.006214,       0.000000/0.010333,      -0.000095/0.014764,                 0.0/0.0,
  171,   relocation,           0.442426,           0.442426,            1.64053,            18.9967,                  0,      -0.000189/0.013527,      -0.000124/0.006517,       0.000000/0.010257,      -0.000230/0.014594,                 0.0/0.0,
  172,   relocation,           0.386234,           0.386234,             1.6184,            17.9554,                  0,       0.000066/0.013164,      -0.000052/0.006090,       0.000000/0.010188,       0.000091/0.014190,                 0.0/0.0,
  173,   relocation,           0.437737,           0.437737,            1.57223,            18.9195,                  0,      -0.000296/0.013477,       0.000041/0.006484,       0.000000/0.010041,      -0.000387/0.014561,                 0.0/0.0,
  174,   relocation,           0.297403,           0.297403,            1.56192,            15.6744,                  0,      -0.000006/0.012338,       0.000166/0.005342,       0.000000/0.010008,      -0.000027/0.013258,                 0.0/0.0,
  175,   relocation,           0.432576,           0.432576,            1.53693,            17.1621,                  0,      -0.000155/0.012887,       0.000055/0.006445,       0.000000/0.009928,      -0.000206/0.013871,                 0.0/0.0,
  176,   relocation,           0.289383,           0.289383,            1.51043,            14.6447,                  0,       0.000054/0.011949,       0.000060/0.005271,       0.000000/0.009842,       0.000063/0.012815,                 0.0/0.0,
  177,   relocation,           0.315098,           0.315098,            1.49241,            14.7111,                  0,      -0.000245/0.011973,      -0.000073/0.005500,       0.000000/0.009783,      -0.000307/0.012841,                 0.0/0.0,
  178,   relocation,           0.374476,           0.374476,            1.47872,            16.5845,                  0,       0.000112/0.012652,       0.000162/0.005995,       0.000000/0.009738,       0.000125/0.013637,                 0.0/0.0,
  179,   relocation,           0.298084,           0.298084,              1.465,            13.9217,                  0,      -0.000170/0.011668,       0.000075/0.005350,       0.000000/0.009693,      -0.000229/0.012493,                 0.0/0.0,
  180,   relocation,            0.30901,            0.30901,            1.44235,            14.5272,                  0,       0.000092/0.011888,       0.000107/0.005446,       0.000000/0.009618,       0.000106/0.012763,                 0.0/0.0,
  181,   relocation,           0.305416,           0.305416,            1.44421,             15.846,                  0,      -0.000184/0.012359,      -0.000029/0.005416,       0.000000/0.009624,      -0.000234/0.013328,                 0.0/0.0,
  182,   relocation,           0.251781,           0.251781,            1.42561,             12.913,                  0,       0.000054/0.011255,       0.000043/0.004917,       0.000000/0.009562,       0.000065/0.012034,                 0.0/0.0,
  183,   relocation,           0.316933,           0.316933,            1.41843,            13.4517,                  0,      -0.000153/0.011482,      -0.000019/0.005517,       0.000000/0.009538,      -0.000195/0.012281,                 0.0/0.0,
  184,   relocation,           0.322029,           0.322029,            1.40348,            13.0009,                  0,      -0.000004/0.011307,      -0.000063/0.005561,       0.000000/0.009487,       0.000002/0.012075,                 0.0/0.0,
  185,   relocation,           0.357399,           0.357399,            1.38553,            14.5076,                  0,      -0.000183/0.011877,       0.000133/0.005857,       0.000000/0.009426,      -0.000251/0.012753,                 0.0/0.0,
  186,   relocation,           0.254017,           0.254017,            1.37685,            12.3626,                  0,       0.000069/0.011022,       0.000133/0.004937,       0.000000/0.009397,       0.000074/0.011774,                 0.0/0.0,
  187,   relocation,           0.351887,           0.351887,            1.37537,            13.5971,                  0,      -0.000236/0.011532,       0.000054/0.005813,       0.000000/0.009392,      -0.000311/0.012344,                 0.0/0.0,
  188,   relocation,           0.237727,           0.237727,            1.35542,            11.9514,                  0,       0.000067/0.010844,       0.000167/0.004775,       0.000000/0.009323,       0.000066/0.011577,                 0.0/0.0,
  189,   relocation,             0.2921,             0.2921,            1.34331,            12.3813,                  0,      -0.000182/0.011030,       0.000004/0.005296,       0.000000/0.009282,      -0.000235/0.011781,                 0.0/0.0,
  190,   relocation,           0.261081,           0.261081,            1.33125,            11.7508,                  0,       0.000040/0.010763,       0.000136/0.005005,       0.000000/0.009240,       0.000036/0.011479,                 0.0/0.0,
  191,   relocation,           0.300115,           0.300115,            1.32278,            12.1297,                  0,      -0.000211/0.010925,      -0.000032/0.005368,       0.000000/0.009210,      -0.000269/0.011660,                 0.0/0.0,
  192,   relocation,           0.274144,           0.274144,            1.31487,            11.5647,                  0,       0.000061/0.010686,       0.000013/0.005131,       0.000000/0.009183,       0.000077/0.011388,                 0.0/0.0,
  193,   relocation,           0.303321,           0.303321,            1.30229,            11.9564,                  0,      -0.000217/0.010849,       0.000120/0.005396,       0.000000/0.009139,      -0.000295/0.011576,                 0.0/0.0,
  194,   relocation,           0.194122,           0.194122,             1.2825,            10.5306,                  0,      -0.000050/0.010210,       0.000111/0.004316,       0.000000/0.009069,      -0.000078/0.010867,                 0.0/0.0,
  195,   relocation,           0.347263,           0.347263,             1.2689,            12.0516,                  0,      -0.000217/0.010891,      -0.000006/0.005775,       0.000000/0.009021,      -0.000279/0.011622,                 0.0/0.0,
  196,   relocation,           0.165588,           0.165588,            1.25933,            9.82317,                  0,      -0.000022/0.009882,       0.000105/0.003986,       0.000000/0.008987,      -0.000041/0.010496,                 0.0/0.0,
  197,   relocation,           0.319205,           0.319205,            1.25196,            11.2203,                  0,      -0.000281/0.010535,      -0.000067/0.005536,       0.000000/0.008960,      -0.000355/0.011212,                 0.0/0.0,
  198,   relocation,           0.154548,           0.154548,            1.22808,            9.28666,                  0,       0.000005/0.009625,       0.000082/0.003852,       0.000000/0.008875,      -0.000003/0.010205,                 0.0/0.0,
  199,   relocation,           0.330912,           0.330912,            1.21877,             11.792,                  0,      -0.000245/0.010760,       0.000028/0.005637,       0.000000/0.008841,      -0.000320/0.011495,                 0.0/0.0,
  200,   relocation,           0.165346,           0.165346,            1.19937,            9.29613,                  0,      -0.000045/0.009621,       0.000057/0.003984,       0.000000/0.008770,      -0.000065/0.010210,                 0.0/0.0,
